ticker,event_ticker,series_ticker,league,title,subtitle,yes_sub_title,no_sub_title,market_type,status,result,label_kind,label_usable,result_binary,settlement_value,last_price,yes_bid,yes_ask,no_bid,no_ask,implied_prob_close,odds_multiplier_yes,odds_multiplier_no,edge_yes,edge_no,volume,open_interest,spread,notional_value,open_time,close_time,expiration_time,settlement_ts,created_time,strike_type,floor_strike,cap_strike,functional_strike,can_close_early,rules_primary
KXNBA1HSPREAD-26MAR23GSWDAL-DAL4,KXNBA1HSPREAD-26MAR23GSWDAL,,NBA,Will Dallas win the 1H by over 4.5 points?,,Dallas wins the 1H by over 4.5 points,Dallas wins the 1H by over 4.5 points,binary,finalized,yes,binary,True,1.0,1.0,0.99,0.99,1.0,0.0,0.01,0.99,1.0101010101010102,99.99999999999991,0.010101010101010166,-1.0,3835.0,2738.0,0.010000000000000009,1.0,2026-03-23T06:35:00Z,2026-03-24T02:45:35Z,2026-04-07T01:30:00Z,2026-03-24T02:48:41.388995Z,2026-03-23T06:16:01.466451Z,greater,4.5,,,True,"If Dallas wins the 1st Half by more than 4.5 points in the Golden State vs Dallas professional basketball game originally scheduled for Mar 23, 2026, then the market resolves to Yes."
KXNBA1HSPREAD-26MAR23GSWDAL-GSW2,KXNBA1HSPREAD-26MAR23GSWDAL,,NBA,Will Golden State win the 1H by over 2.5 points?,,Golden State wins the 1H by over 2.5 points,Golden State wins the 1H by over 2.5 points,binary,finalized,no,binary,True,0.0,0.0,0.01,0.0,0.01,0.99,1.0,0.01,100.0,1.0101010101010102,-1.0,0.010101010101010166,7255.0,6115.0,0.01,1.0,2026-03-23T06:35:00Z,2026-03-24T02:45:35Z,2026-04-07T01:30:00Z,2026-03-24T02:48:41.388405Z,2026-03-23T06:16:01.466451Z,greater,2.5,,,True,"If Golden State wins the 1st Half by more than 2.5 points in the Golden State vs Dallas professional basketball game originally scheduled for Mar 23, 2026, then the market resolves to Yes."
KXNBA1HSPREAD-26MAR23GSWDAL-GSW5,KXNBA1HSPREAD-26MAR23GSWDAL,,NBA,Will Golden State win the 1H by over 5.5 points?,,Golden State wins the 1H by over 5.5 points,Golden State wins the 1H by over 5.5 points,binary,finalized,no,binary,True,0.0,0.0,0.25,0.0,0.01,0.99,1.0,0.25,4.0,1.3333333333333333,-1.0,0.33333333333333326,132.0,80.0,0.01,1.0,2026-03-23T06:35:00Z,2026-03-24T02:45:35Z,2026-04-07T01:30:00Z,2026-03-24T02:48:41.387398Z,2026-03-23T06:16:01.466451Z,greater,5.5,,,True,"If Golden State wins the 1st Half by more than 5.5 points in the Golden State vs Dallas professional basketball game originally scheduled for Mar 23, 2026, then the market resolves to Yes."
KXNBA1HWINNER-26MAR23GSWDAL-TIE,KXNBA1HWINNER-26MAR23GSWDAL,,NBA,Golden State vs Dallas: First Half Winner?,,Tie,Tie,binary,finalized,no,binary,True,0.0,0.0,0.01,0.0,0.01,0.99,1.0,0.01,100.0,1.0101010101010102,-1.0,0.010101010101010166,2977.0,2758.0,0.01,1.0,2026-03-22T23:35:00Z,2026-03-24T02:45:34Z,2026-04-07T01:30:00Z,2026-03-24T02:51:40.789771Z,2026-03-22T23:16:03.686046Z,structured,,,,True,"If Tie is the result of the first half of regulation time in the Golden State vs Dallas professional basketball game originally scheduled for Mar 23, 2026, then the market resolves to Yes."
KXNBA1HWINNER-26MAR23GSWDAL-GSW,KXNBA1HWINNER-26MAR23GSWDAL,,NBA,Golden State vs Dallas: First Half Winner?,,Golden State wins 1st half,Golden State wins 1st half,binary,finalized,no,binary,True,0.0,0.0,0.01,0.0,0.01,0.99,1.0,0.01,100.0,1.0101010101010102,-1.0,0.010101010101010166,18045.0,16175.0,0.01,1.0,2026-03-22T23:35:00Z,2026-03-24T02:45:34Z,2026-04-07T01:30:00Z,2026-03-24T02:51:40.789771Z,2026-03-22T23:16:03.686046Z,structured,,,,True,"If Golden State is the winner of the first half of regulation time in the Golden State vs Dallas professional basketball game originally scheduled for Mar 23, 2026, then the market resolves to Yes."
KXNBA1HWINNER-26MAR23GSWDAL-DAL,KXNBA1HWINNER-26MAR23GSWDAL,,NBA,Golden State vs Dallas: First Half Winner?,,Dallas wins 1st half,Dallas wins 1st half,binary,finalized,yes,binary,True,1.0,1.0,0.99,0.99,1.0,0.0,0.01,0.99,1.0101010101010102,99.99999999999991,0.010101010101010166,-1.0,22063.0,18663.0,0.010000000000000009,1.0,2026-03-22T23:35:00Z,2026-03-24T02:45:34Z,2026-04-07T01:30:00Z,2026-03-24T02:51:40.789771Z,2026-03-22T23:16:03.686046Z,structured,,,,True,"If Dallas is the winner of the first half of regulation time in the Golden State vs Dallas professional basketball game originally scheduled for Mar 23, 2026, then the market resolves to Yes."
KXNBA1HSPREAD-26MAR23GSWDAL-GSW8,KXNBA1HSPREAD-26MAR23GSWDAL,,NBA,Will Golden State win the 1H by over 8.5 points?,,Golden State wins the 1H by over 8.5 points,Golden State wins the 1H by over 8.5 points,binary,finalized,no,binary,True,0.0,0.0,0.1,0.0,0.01,0.99,1.0,0.1,10.0,1.1111111111111112,-1.0,0.11111111111111116,3.0,3.0,0.01,1.0,2026-03-23T06:35:00Z,2026-03-24T02:45:34Z,2026-04-07T01:30:00Z,2026-03-24T02:48:41.387192Z,2026-03-23T06:16:01.466451Z,greater,8.5,,,True,"If Golden State wins the 1st Half by more than 8.5 points in the Golden State vs Dallas professional basketball game originally scheduled for Mar 23, 2026, then the market resolves to Yes."
KXNBA1HSPREAD-26MAR23GSWDAL-GSW11,KXNBA1HSPREAD-26MAR23GSWDAL,,NBA,Will Golden State win the 1H by over 11.5 points?,,Golden State wins the 1H by over 11.5 points,Golden State wins the 1H by over 11.5 points,binary,finalized,no,binary,True,0.0,0.0,0.0,0.0,0.01,0.99,1.0,0.0,,,,,0.0,0.0,0.01,1.0,2026-03-23T06:35:00Z,2026-03-24T02:45:34Z,2026-04-07T01:30:00Z,2026-03-24T02:48:41.38699Z,2026-03-23T06:16:01.466451Z,greater,11.5,,,True,"If Golden State wins the 1st Half by more than 11.5 points in the Golden State vs Dallas professional basketball game originally scheduled for Mar 23, 2026, then the market resolves to Yes."
KXNBA1HSPREAD-26MAR23GSWDAL-GSW14,KXNBA1HSPREAD-26MAR23GSWDAL,,NBA,Will Golden State win the 1H by over 14.5 points?,,Golden State wins the 1H by over 14.5 points,Golden State wins the 1H by over 14.5 points,binary,finalized,no,binary,True,0.0,0.0,0.44,0.0,0.01,0.99,1.0,0.44,2.272727272727273,1.7857142857142856,-1.0,0.7857142857142856,21.0,21.0,0.01,1.0,2026-03-23T06:35:00Z,2026-03-24T02:45:34Z,2026-04-07T01:30:00Z,2026-03-24T02:48:41.386837Z,2026-03-23T06:16:01.466451Z,greater,14.5,,,True,"If Golden State wins the 1st Half by more than 14.5 points in the Golden State vs Dallas professional basketball game originally scheduled for Mar 23, 2026, then the market resolves to Yes."
KXNBAAST-26MAR23TORUTA-TORSBARNES4-8,KXNBAAST-26MAR23TORUTA,,NBA,Scottie Barnes: 8+ assists,,Scottie Barnes: 8+,Scottie Barnes: 8+,binary,finalized,yes,binary,True,1.0,1.0,0.99,0.99,1.0,0.0,0.01,0.99,1.0101010101010102,99.99999999999991,0.010101010101010166,-1.0,2695.0,2071.0,0.010000000000000009,1.0,2026-03-23T06:11:00Z,2026-03-24T02:45:11Z,2026-04-07T01:00:00Z,2026-03-24T02:51:10.794157Z,2026-03-23T06:01:23.069524Z,structured,7.5,,,True,"If Scottie Barnes records 8+ Assists in the Toronto at Utah professional basketball game originally scheduled for Mar 23, 2026, then the market resolves to Yes."
